"regionID","regionName"
1000599,Casino
1000602,Sale
1000605,Shepparton - Mooroopna
1000609,Sunbury
1000614,Traralgon
1000616,Wangaratta
1000620,Warrnambool
1000630,Albany
1000635,Broome
1000636,Bunbury
1000637,Busselton
1000650,Geraldton
1000652,Hervey Bay
1000653,Kalgoorlie - Boulder
1000654,Karratha
1000658,Kwinana Town Centre
1000662,Mandurah
1000665,Gold Coast
1000676,Perth
1000678,Port Hedland
1000679,Rockingham
1000683,Bad Tatzmannsdorf
1000684,Eisenstadt
1000685,Grosspetersdorf
1000686,Jennersdorf
1000687,Landsee
1000688,Lockenhaus
1000689,Mattersburg
1000690,Neusiedl am See
1000691,Oberpullendorf
1000692,Oberwart
1000693,Parndorf
1000694,Wimpassing an der Leitha
1000695,Arnoldstein
1000696,Bad Sankt Leonhard im Lavanttal
1000697,Bad Bleiberg
1000698,Feistritz an der Drau
1000699,Frantschach
1000700,Friesach
1000701,Klagenfurt
1000702,Mallnitz
1000703,Neudorfl
1000704,Radenthein
1000705,Treffen
1000707,Villach
1000708,Wernberg
1000709,Amstetten
1000710,Baden bei Wien
1000711,Bruck an der Leitha
1000712,Ebergassing
1000713,Eggenburg
1000714,Enzesfeld
1000715,Gablitz
1000716,Gaming
1000717,Gars am Kamp
1000718,Gerasdorf
1000719,Gloggnitz
1000720,Gresten
1000721,Gross-Enzersdorf
1000722,Gumpoldskirchen
1000723,Guntramsdorf
1000724,Hainburg an der Donau
1000725,Hainfeld
1000727,Heidenreichstein
1000728,Herzogenburg
1000729,Himberg
1000731,Hirtenberg
1000733,Hohenberg
1000734,Hollabrunn
1000735,Horn
1000736,Kaltenleutgeben
1000737,Kirchberg am Wechsel
1000738,Klosterneuburg
1000739,Korneuburg
1000740,Kottingbrunn
1000741,Krems an der Donau
1000742,Langenzersdorf
1000743,Lanzendorf
1000744,Laxenburg
1000745,Leopoldsdorf
1000746,Lilienfeld
1000747,Lunz am See
1000748,Mank
1000749,Maria Enzersdorf
1000750,Melk
1000751,Mistelbach
1000752,Mitterbach am Erlaufsee
1000753,Modling
1000754,Monichkirchen
1000755,Moosbrunn
1000757,Neulengbach
1000758,Neunkirchen
1000759,Ober-Grafendorf
1000763,Perchtoldsdorf
1000764,Pernitz
1000765,Pochlarn
1000766,Poysdorf
1000767,Pressbaum
1000768,Purkersdorf
1000769,Reichenau an der Rax
1000770,Retz
1000772,Saint Polten
1000773,Saint Valentin
1000774,Schrems
1000775,Schwadorf
1000776,Schwechat
1000777,Seitenstetten
1000779,Stockerau
1000780,Strasshof an der Nordbahn
1000781,Teesdorf
1000782,Ternitz
1000784,Traiskirchen
1000786,Tulln
1000788,Vosendorf
1000790,Waidhofen an der Ybbs
1000791,Wartmannstetten
1000792,Wiener Neudorf
1000793,Wiener Neustadt
1000794,Wolkersdorf
1000795,Ybbsitz
1000796,Ziersdorf
1000797,Zwettl
1000799,Alkoven
1000801,Altheim
1000802,Altmunster
1000803,Ansfelden
1000804,Bad Ischl
1000805,Braunau am Inn
1000806,Burgkirchen
1000807,Eferding
1000808,Eggelsberg
1000809,Enns
1000810,Esternberg
1000811,Feldkirchen an der Donau
1000812,Frankenburg
1000813,Frankenmarkt
1000814,Gallspach
1000815,Garsten
1000816,Gmunden
1000817,Grieskirchen
1000818,Gunskirchen
1000819,Gutau
1000820,Hagenberg
1000821,Horsching
1000822,Kirchdorf an der Krems
1000823,Kremsmunster
1000824,Laakirchen
1000825,Lenzing
1000826,Leonding
1000827,Linz
1000828,Marchtrenk
1000829,Mauthausen
1000830,Micheldorf in Oberosterreich
1000831,Mondsee
1000835,Niederwaldkirchen
1000836,Ohlsdorf
1000837,Ort
1000838,Pasching
1000839,Perg
1000840,Peuerbach
1000841,Pram
1000843,Ried im Innkreis
1000844,Sankt Florian
1000845,Scharding
1000846,Scharnstein
1000847,Schwertberg
1000848,Seewalchen am Attersee
1000849,Stadl-Paura
1000850,Steyr
1000851,Thalheim bei Wels
1000852,Traun
1000853,Vocklabruck
1000854,Vocklamarkt
1000855,Vorchdorf
1000856,Waldkirchen am Wesen
1000857,Wels
1000858,Wernstein am Inn
1000860,Anif
1000861,Bad Hofgastein
1000862,Badgastein
1000863,Bergheim
1000864,Bischofshofen
1000865,Eugendorf
1000866,Fusch
1000867,Fuschl
1000869,Grodig
1000870,Hallein
1000871,Kaprun
1000872,Lofer
1000873,Michaelbeuern
1000874,Oberalm
1000875,Pfarrwerfen
1000876,Rauris
1000877,Saalbach-Hinterglemm
1000878,Salzburg
1000879,Schwarzach im Pongau
1000880,Siezenheim
1000881,Tamsweg
1000882,Thalgau
1000884,Zell am See
1000885,Admont
1000886,Bad Gleichenberg
1000887,Bad Radkersburg
1000888,Birkfeld
1000889,Bruck an der Mur
1000890,Deutschlandsberg
1000892,Ehrenhausen
1000893,Eisenerz
1000894,Feldbach
1000895,Frauental an der Lassnitz
1000896,Frohnleiten
1000898,Gleisdorf
1000899,Gratkorn
1000900,Graz
1000901,Hartberg
1000902,Hausmannstatten
1000903,Ilz
1000904,Judenburg
1000905,Kalsdorf bei Graz
1000906,Kapfenberg
1000907,Kindberg
1000908,Knittelfeld
1000909,Koflach
1000910,Alpl
1000911,Leibnitz
1000912,Leoben
1000913,Liezen
1000914,Mariazell
1000915,Murau
1000916,Mureck
1000917,Murzzuschlag
1000918,Rottenmann
1000919,Sankt Lambrecht
1000920,Sankt Margarethen an der Raab
1000922,Schladming
1000924,Stubenberg
1000925,Unterpremstatten
1000926,Voitsberg
1000927,Weiz
1000928,Zeltweg
1000929,Absam
1000930,Achenkirch
1000931,Axams
1000932,Brixlegg
1000933,Bruck am Ziller
1000934,Ehrwald
1000935,Fulpmes
1000936,Galtur
1000937,Hall in Tirol
1000939,Hopfgarten im Brixental
1000940,Imst
1000941,Innsbruck
1000942,Jenbach
1000943,Kitzbuhel
1000944,Kufstein
1000945,Kundl
1000946,Landeck
1000947,Lermoos
1000948,Lienz
1000949,Mayrhofen
1000950,Mieming
1000951,Pians
1000952,Pill
1000953,Reutte
1000954,Saint Anton am Arlberg
1000955,Sankt Johann Im Walde
1000956,Schwaz
1000957,Seefeld
1000958,Sillian
1000959,Soelden
1000960,Steeg
1000962,Volders
1000963,Vomp
1000964,Walchsee
1000965,Wattens
1000966,Worgl
1000967,Zams
1000968,Zirl
1000969,Altach
1000970,Bezau
1000971,Bludenz
1000972,Brand
1000973,Bregenz
1000974,Dornbirn
1000975,Egg
1000976,Feldkirch
1000978,Gotzis
1000979,Hard
1000981,Hochst
1000982,Hohenems
1000983,Kennelbach
1000984,Koblach
1000985,Lauterach
1000986,Lech
1000987,Lochau
1000988,Lustenau
1000989,Nenzing
1000990,Rankweil
1000991,Schlins
1000992,Schruns
1000993,Schwarzach
1000994,Sulzberg
1000996,Wolfurt
1000997,Vienna
1000998,Baku
1001001,Anderlecht
1001003,Bertem
1001004,Brussels
1001006,Etterbeek
1001007,Evere
1001009,Hoeilaart
1001010,Ixelles
1001011,Jette
1001012,Kraainem
1001015,Schaerbeek
1001018,Uccle
1001019,Wezembeek-Oppem
1001020,Woluwe-Saint-Lambert
1001021,Antwerp
1001022,Arendonk
1001025,Balen
1001026,Beerse
1001027,Boechout
1001028,Bonheiden
1001030,Boom
1001032,Bornem
1001034,Brasschaat
1001038,Duffel
1001039,Edegem
1001041,Essen
1001042,Geel
1001044,Grobbendonk
1001045,Heist-op-den-Berg
1001046,Hemiksem
1001047,Herentals
1001049,Hoogstraten
1001051,Kalmthout
1001052,Kapellen
1001054,Kontich
1001057,Lier
1001058,Malle
1001059,Mechelen
1001062,Mol
1001063,Mortsel
1001066,Olen
1001068,Puurs
1001070,Rijkevorsel
1001071,Rumst
1001072,Schelle
1001073,Schilde
1001074,Schoten
1001076,Sint-Amands
1001078,Stabroek
1001080,Turnhout
1001082,Vosselaar
1001083,Westerlo
1001084,Wijnegem
1001085,Willebroek
1001087,Wommelgem
1001088,Zandhoven
1001089,Zoersel
1001090,Zwijndrecht
1001091,Aarschot
1001092,Asse
1001094,Beauvechain
1001095,Begijnendijk
1001097,Bierbeek
1001098,Boutersem
1001100,Dilbeek
1001104,Grimbergen
1001105,Haacht
1001107,Halle
1001108,Herent
1001110,Holsbeek
1001112,Keerbergen
1001116,Kortenberg
1001117,Lennik
1001118,Leuven
1001121,Londerzeel
1001122,Lubbeek
1001123,Machelen
1001125,Meise
1001129,Opwijk
1001130,Overijse
1001133,Roosdaal
1001134,Rotselaar
1001136,Sint-Pieters-Leeuw
1001138,Steenokkerzeel
1001140,Ternat
1001141,Tervuren
1001142,Tienen
1001143,Tremelo
1001145,Vilvoorde
1001150,Zaventem
1001152,Alken
1001153,Beringen
1001154,Bilzen
1001157,Bree
1001159,Diepenbeek
1001162,Genk
1001163,Halen
1001165,Hasselt
1001166,Herk-de-Stad
1001167,Hoeselt
1001170,Kinrooi
1001172,Lanaken
1001174,Leopoldsburg
1001175,Lommel
1001176,Maaseik
1001178,Opglabbeek
1001179,Overpelt
1001181,Peer
1001182,Sint-Truiden
1001183,Tessenderlo
1001184,Tongeren
1001185,Zonhoven
1001187,Aalst
1001188,Aalter
1001189,Assenede
1001191,Beveren
1001193,Brakel
1001194,Buggenhout
1001196,Deerlijk
1001197,Deinze
1001198,Dendermonde
1001199,Destelbergen
1001201,Eeklo
1001206,Evergem
1001207,Gavere
1001208,Ghent
1001209,Geraardsbergen
1001210,Hamme
1001215,Kruibeke
1001216,Kruishoutem
1001217,Lebbeke
1001221,Lochristi
1001222,Lokeren
1001223,Lovendegem
1001224,Maldegem
1001225,Melle
1001228,Merelbeke
1001231,Nazareth
1001232,Nevele
1001234,Ninove
1001236,Oosterzele
1001237,Oudenaarde
1001238,Ronse
1001242,Sint-Niklaas
1001243,Stekene
1001244,Temse
1001247,Waarschoot
1001249,Wetteren
1001252,Zele
1001254,Zottegem
1001256,Ardooie
1001259,Bruges
1001261,Diksmuide
1001262,Gistel
1001266,Harelbeke
1001268,Hooglede
1001269,Ypres
1001270,Izegem
1001271,Jabbeke
1001273,Knokke-Heist
1001274,Koksijde
1001275,Kortrijk
1001276,Kuurne
1001277,Menen
1001278,Meulebeke
1001281,Nieuwpoort
1001282,Ostend
1001283,Oostkamp
1001286,Poperinge
1001287,Roeselare
1001292,Staden
1001293,Tielt
1001294,Torhout
1001297,Waregem
1001298,Wervik
1001300,Wevelgem
1001301,Wielsbeke
1001302,Zedelgem
1001304,Zwevegem
1001305,Aartselaar
1001307,Boortmeerbeek
1001308,Braine-l'Alleud
1001310,Diest
1001313,Grez-Doiceau
1001314,Jodoigne
1001315,Kampenhout
1001316,La Hulpe
1001317,Lasne
1001319,Ottignies-Louvain-la-Neuve
1001321,Nivelles
1001326,Tubize
1001327,Waterloo
1001329,Wavre
1001330,Ath
1001332,Binche
1001333,Braine-le-Comte
1001334,Charleroi
1001337,Courcelles
1001342,Enghien
1001343,Fleurus
1001344,Frameries
1001355,La Louviere
1001356,Lessines
1001360,Mons
1001361,Mouscron
1001363,Peruwelz
1001366,Seneffe
1001367,Soignies
1001370,Tournai
1001379,Chaudfontaine
1001382,Eupen
1001385,Grace-Hollogne
1001386,Hannut
1001389,Herstal
1001390,Herve
1001392,Huy
1001393,Landen
1001394,Liege
1001400,Namur
1001404,Seraing
1001408,Verviers
1001409,Vise
1001413,Wanze
1001414,Waremme
1001418,Arlon
1001421,Bastogne
1001426,Marche-en-Famenne
1001430,Ciney
1001431,Dinant
1001432,Gembloux
1001434,Sambreville
1001437,Cotonou
1001440,Chittagong
1001442,Khulna
1001444,Sylhet
1001445,Blagoevgrad
1001446,Dupnica
1001447,Kyustendil
1001448,Sofia
1001449,Burgas
1001450,Pomorie
1001451,Sliven
1001452,Yambol
1001453,Dobrich
1001454,Varna
1001455,Gabrovo
1001456,Lovech
1001457,Pleven
1001458,Sevlievo
1001459,Veliko Tarnovo
1001460,Montana
1001461,Vidin
1001462,Vratsa
1001463,Karlovo
1001464,Plovdiv
1001465,Smolyan
1001466,Razgrad
1001467,Ruse
1001468,Silistra
1001469,Targovishte
1001470,Pernik
1001471,Petrich
1001472,Dimitrovgrad
1001473,Haskovo
1001474,Kardzali
1001475,Kazanluk
1001476,Stara Zagora
1001477,Svilengrad
1001478,Manama
1001492,Gomel
1001493,Minsk
1001494,Navapolatsk
1001495,Viciebsk
1001504,Rio Branco
1001505,Capela
1001506,Maceio
1001507,Matriz de Camaragibe
1001510,Itacoatiara
1001511,Manaus
1001513,Tefe
1001515,Macapa
1001516,Alagoinhas
1001517,Barreiras
1001518,Caetite
1001520,Eunapolis
1001521,Feira de Santana
1001522,Guanambi
1001523,Itabuna
1001524,Itamaraju
1001525,Itapetinga
1001528,Jequie
1001529,Juazeiro
1001533,Salvador
1001534,Santo Antonio de Jesus
1001535,Simoes Filho
1001536,Vitoria da Conquista
1001537,Caninde
1001538,Fortaleza
1001539,Juazeiro do Norte
1001540,Sobral
1001541,Brasilia
1001542,Cachoeiro de Itapemirim
1001543,Castelo
1001544,Colatina
1001545,Linhares
1001546,Sao Mateus
1001547,Serra
1001548,Vila Velha
1001549,Vitoria
1001550,Catalao
1001551,Ceres
1001552,Goiania
1001554,Itumbiara
1001555,Jatai
1001556,Rio Verde
1001557,Trindade
1001559,Balsas
1001560,Imperatriz
1001561,Sao Luis
1001562,Alfenas
1001563,Araxa
1001564,Arcos
1001565,Barbacena
1001566,Belo Horizonte
1001567,Caceres
1001568,Cataguases
1001570,Divinopolis
1001571,Governador Valadares
1001572,Ipatinga
1001573,Itajuba
1001574,Juatuba
1001575,Juiz de Fora
1001576,Lavras
1001577,Manhuacu
1001578,Monte Carmelo
1001579,Montes Claros
1001580,Ouro Preto
1001581,Passos
1001582,Patrocinio
1001583,Pirapora
1001584,Pocos de Caldas
1001585,Sao Joao del Rei
1001586,Sete Lagoas
1001587,Teofilo Otoni
1001588,Tres Coracoes
1001589,Uberaba
1001590,Uberlandia
1001591,Unai
1001592,Vicosa
1001593,Campo Grande
1001595,Corumba
1001596,Dourados
1001598,Ponta Pora
1001599,Tres Lagoas
1001600,Alta Floresta
1001602,Cuiaba
1001604,Presidente Epitacio
1001605,Rondonopolis
1001606,Sinop
1001607,Tangara da Serra
1001609,Altamira
1001610,Belem
1001613,Castanhal
1001614,Itaituba
1001615,Maraba
1001616,Paragominas
1001617,Redencao
1001618,Santarem
1001620,Tucurui
1001621,Campina Grande
1001622,Joao Pessoa
1001624,Paulista
1001625,Recife
1001629,Teresina
1001630,Apucarana
1001631,Cafelandia
1001632,Cascavel
1001633,Cornelio Procopio
1001634,Curitiba
1001635,Guarapuava
1001636,Ibaiti
1001637,Londrina
1001638,Palmas
1001639,Paranagua
1001640,Ponta Grossa
1001641,Santo Antonio da Platina
1001642,Sao Mateus do Sul
1001643,Umuarama
1001644,Barra Mansa
1001645,Cabo Frio
1001646,Campos dos Goytacazes
1001647,Itaguai
1001648,Itaperuna
1001649,Macae
1001650,Niteroi
1001651,Nova Friburgo
1001652,Nova Iguacu
1001653,Petropolis
1001654,Porto Real
1001655,Rio de Janeiro
1001656,Sao Jose do Vale do Rio Preto
1001657,Seropedica
1001658,Teresopolis
1001659,Valenca
1001660,Vassouras
1001661,Mossoro
1001662,Natal
1001664,Cacoal
1001665,Ji-Parana
1001666,Porto Velho
1001667,Bage
1001668,Cachoeira do Sul
1001669,Camaqua
1001670,Canoas
1001671,Capao da Canoa
1001672,Caxias do Sul
1001673,Erechim
1001674,Flores da Cunha
1001675,Guapore
1001676,Ibiruba
1001677,Ijui
1001678,Jaguarao
1001679,Lajeado
1001681,Novo Hamburgo
1001682,Palmeira das Missoes
1001683,Parobe
1001684,Passo Fundo
1001685,Pelotas
1001686,Porto Alegre
1001687,Rio Grande
1001688,Santa Cruz do Sul
1001689,Santa Maria
1001690,Santa Rosa
1001691,Santana do Livramento
1001692,Sao Leopoldo
1001693,Tapes
1001694,Taquari
1001695,Torres
1001696,Uruguaiana
1001697,Vacaria
1001698,Blumenau
1001699,Braco do Norte
1001700,Cacador
1001701,Canoinhas
1001702,Chapeco
1001703,Concordia
1001704,Criciuma
1001705,Curitibanos
1001706,Florianopolis
1001707,Imbituba
1001708,Itajai
1001709,Joacaba
1001710,Joinville
1001712,Navegantes
1001713,Rio do Sul
1001714,Rio Negrinho
1001715,Aracaju
1001716,Adamantina
1001717,Americana
1001718,Aracatuba
1001719,Araraquara
1001720,Assis
1001721,Avare
1001722,Bariri
1001723,Barretos
1001724,Barueri
1001725,Bauru
1001726,Botucatu
1001727,Braganca Paulista
1001728,Cachoeira Paulista
1001729,Campinas
1001730,Catanduva
1001731,Cotia
1001732,Cubatao
1001733,Dracena
1001734,Fernandopolis
1001735,Franca
1001736,Guarulhos
1001737,Hortolandia
1001738,Indaiatuba
1001739,Ipero
1001740,Itapetininga
1001741,Itapeva
1001742,Itarare
1001743,Jundiai
1001744,Laranjal Paulista
1001745,Leme
1001746,Limeira
1001747,Lins
1001748,Lorena
1001749,Marilia
1001750,Mococa
1001751,Mogi Guacu
1001752,Moji-Mirim
1001753,Nova Odessa
1001754,Osasco
1001755,Ourinhos
1001756,Paulinia
1001757,Pindamonhangaba
1001758,Piracicaba
1001759,Porto Ferreira
1001760,Presidente Prudente
1001761,Registro
1001762,Ribeirao Pires
1001763,Ribeirao Preto
1001764,Rio Claro
1001765,Santo Andre
1001766,Santos
1001767,Sao Bernardo do Campo
1001768,Sao Caetano do Sul
1001769,Sao Carlos
1001770,Sao Joao da Boa Vista
1001771,Sao Jose do Rio Preto
1001772,Sao Jose dos Campos
1001773,Sao Paulo
1001774,Sao Sebastiao
1001775,Sao Vicente
1001776,Sorocaba
1001777,Suzano
1001778,Taubate
1001779,Tupa
1001780,Araguaina
1001784,Saint James
1001785,Saint Michael
1001786,Bandar Seri Begawan
1001792,Acme
1001793,Airdrie
1001794,Athabasca
1001795,Banff
1001796,Barrhead
1001797,Bonnyville
1001798,Bow Island
1001799,Breton
1001800,Brooks
1001801,Calgary
1001802,Camrose
1001803,Canmore
1001804,Cold Lake
1001805,Didsbury
1001806,Drayton Valley
1001807,Drumheller
1001808,Edmonton
1001809,Edson
1001810,Fairview
1001811,Fort MacLeod
1001812,Fort McMurray
1001813,Fort Saskatchewan
1001814,Cold Lake South
1001815,Grande Cache
1001816,Grande Prairie
1001817,High Level
1001818,High Prairie
1001819,High River
1001820,Hinton
1001821,Jasper
1001822,Lac la Biche
1001823,Lacombe
1001824,Langdon
1001825,Leduc
1001826,Lethbridge
1001827,Lloydminster
1001828,Medicine Hat
1001829,Morinville
1001830,Munson
1001831,Nisku
1001832,Okotoks
1001833,Olds
1001834,Peace River
1001835,Ponoka
1001836,Provost
1001837,Red Deer
1001838,Redcliff
1001839,Redwood Meadows
1001840,Rocky Mountain House
1001841,Sherwood Park
1001842,Slave Lake
1001843,Spruce Grove
1001844,St. Albert
1001845,Saint Paul
1001846,Stettler
1001847,Stony Plain
1001848,Swan Hills
1001849,Taber
1001850,Tees
1001851,Three Hills
1001852,Valleyview
1001853,Vegreville
1001854,Vermilion River County No. 24
1001855,Wainwright
1001856,Westlock
1001857,Wetaskiwin
1001858,Whitecourt
1001860,"100 Mile House"
1001861,Abbotsford
1001862,Aldergrove
1001863,Alert Bay
1001864,Alexandria
1001865,Armstrong
1001866,Ashcroft
1001867,Bamfield
1001868,Barriere
1001869,Bella Bella
1001870,Blue River
1001871,Brackendale
1001872,Brentwood Bay
1001873,Burnaby
1001874,Burns Lake
1001875,Campbell River
1001876,Canyon
1001877,Castlegar
1001878,Chase
1001879,Chilliwack
1001880,Clearbrook
1001881,Clearwater
1001882,Clinton
1001883,Cloverdale
1001884,Comox
1001885,Coquitlam
1001886,Cordova Bay
1001887,Courtenay
1001888,Cranbrook
1001889,Creston
1001890,Cumberland
1001891,Dawson Creek
1001892,Delta
1001893,Duncan
1001894,Fernie
1001895,Fort Saint James
1001896,Fort Saint John
1001897,Ganges
1001898,Gibsons
1001899,Gold River
1001900,Golden
1001901,Grand Forks
1001902,Haney
1001903,Hope
1001904,Houston
1001905,Huntingdon
1001906,Invermere
1001907,Kamloops
1001908,Kaslo
1001909,Kelowna
1001910,Kimberley
1001911,Kitimat
1001912,Ladner
1001913,Ladysmith
1001914,Lake Cowichan
1001915,Langley
1001916,Lantzville
1001917,Lillooet
1001918,Lumby
1001919,Mackenzie
1001920,Maple Ridge
1001921,Marysville
1001922,Masset
1001923,McBride
1001924,Merritt
1001925,Mill Bay
1001926,Mission
1001927,Nanaimo
1001928,Nelson
1001929,New Westminster
1001930,North Saanich
1001931,North Vancouver
1001932,Oliver
1001933,Osoyoos
1001934,Parksville
1001935,Penticton
1001936,Pitt Meadows
1001937,Port Alberni
1001938,Port Coquitlam
1001939,Port Hardy
1001940,Port Mellon
1001941,Port Moody
1001942,Powell River
1001943,Prince George
1001944,Prince Rupert
1001945,Princeton
1001946,Queen Charlotte
1001947,Quesnel
1001948,Revelstoke
1001949,Richmond
1001950,Roberts Creek
1001951,Rosedale
1001952,Salmon Arm
1001953,Salt Spring Island
1001954,Sardis
1001955,Shawnigan Lake
1001956,Sicamous
1001957,Sidney
1001958,Smithers
1001959,South Slocan
1001960,Sparwood
1001961,Squamish
1001962,Steveston
1001963,Summerland
1001964,Surrey
1001965,Terrace
1001966,Trail
1001967,Tsawwassen
1001968,Ucluelet
1001969,Valemount
1001970,Vancouver
1001971,Vanderhoof
1001972,Vernon
1001973,Victoria
1001974,Wellington
1001975,West Vancouver
1001976,Whistler
1001977,White Rock
1001978,Williams Lake
1001979,Altona
1001980,Arborg
1001981,Ashern
1001982,Austin
1001983,Beausejour
1001984,Boissevain
1001985,Brandon
1001986,Carberry
1001987,Carman
1001988,Cartier
1001989,Cranberry Portage
1001990,Dauphin
1001991,Deloraine
1001992,Dugald
1001993,Elie
1001994,Elphinstone
1001995,Eriksdale
1001996,Fisher Branch
1001997,Flin Flon
1001998,Gimli
1001999,Glenboro
1002000,Grosse Isle
1002001,Gypsumville
1002002,Killarney
1002003,Lac du Bonnet
1002004,Lorette
1002005,Lundar
1002006,MacGregor
1002007,Manitou
1002008,McCreary
1002009,Miami
1002010,Minnedosa
1002011,Moosehorn
1002012,Morden
1002013,Morris
1002014,Neepawa
1002015,Nelson House
1002016,Newton
1002017,Niverville
1002018,Oak Bluff
1002019,Onanole
1002020,Otterburne
1002021,Pinawa
1002022,Pine Falls
1002023,Portage la Prairie
1002024,Rivers
1002025,Russell
1002026,Selkirk
1002027,Shoal Lake
1002028,Snow Lake
1002029,Souris
1002030,St-Lazare
1002031,Ste. Agathe
1002032,Ste. Anne
1002033,Steinbach
1002034,Stonewall
1002035,Stony Mountain
1002036,Swan Lake
1002037,Swan River
1002038,Teulon
1002039,The Pas
1002040,Thompson
1002041,Treherne
1002042,Virden
1002043,Wawanesa
1002044,Winkler
1002045,Winnipeg
1002046,Atholville
1002047,Bathurst
1002048,Beresford
1002049,Bloomfield Ridge
1002050,Bouctouche
1002051,Clair
1002052,West Isles
1002053,Dieppe
1002054,Doaktown
1002055,Edmundston
1002056,Florenceville
1002057,Fredericton
1002058,Juniper
1002059,Memramcook
1002060,Miramichi
1002061,Moncton
1002062,Mount Pisgah
1002063,Newcastle
1002064,Nigadoo
1002065,Oromocto
1002066,Paquetville
1002067,Quispamsis
1002068,Rexton
1002069,Richibucto
1002070,Richibucto Road
1002071,Rothesay
1002072,Sackville
1002073,Shediac
1002074,Shippagan
1002075,Saint-Basile
1002076,Saint George
1002077,Saint John
1002078,Saint-Louis de Kent
1002079,Saint Stephen
1002080,Saint-Paul
1002081,Saint-Quentin
1002082,Sussex
1002083,Tracadie-Sheila
1002084,Welshpool
1002085,Woodstock
1002086,Baie Verte
1002087,Beaumont
1002088,Catalina
1002089,Clarenville
1002090,Corner Brook
1002091,Francois
1002092,Gander
1002093,Happy Valley-Goose Bay
1002094,Grand Falls
1002095,Labrador City
1002096,Mount Pearl
1002097,Postville
1002098,Shoal Harbour
1002099,St. John's
1002100,Stephenville
1002102,Valleyfield
1002103,Wabush
1002104,Windsor
1002105,Amherst
1002106,Antigonish
1002107,Barrington
1002108,Bedford
1002109,Bridgewater
1002110,Dartmouth
